id,name,type,publisher,synopsis,released,img_link,avg_rating,qtd_rating
233,Mil Colmilhos,serie,-,"Durante uma missão, um batalhão militar é aterrorizado por forças sobrenaturais. Pra dar mais medo: eles estão no meio da Floresta Amazônica.",2021-10-28,https://image.tmdb.org/t/p/original/1UOGZ3kiqqimS7y9v3Otbk5tbUN.jpg,7.5,99.0
234,Wheel of Fortune,serie,-,,1983-09-19,https://image.tmdb.org/t/p/original/2fvAIyVfFHQdhJ7OsJWuMlF7836.jpg,7.2,34.0
235,Round 6,serie,-,"Centenas de jogadores falidos aceitam um estranho convite para um jogo de sobrevivência. Um prêmio milionário aguarda, mas as apostas são altas e mortais.",2021-09-17,https://image.tmdb.org/t/p/original/6gcHdboppvplmBWxvROc96NJnmm.jpg,7.8,9248.0
236,Os 100,serie,-,"Quase 100 anos após um apocalipse nuclear devastar a Terra, 100 sobreviventes de uma estação espacial voltam para avaliar as condições do planeta.",2014-03-19,https://image.tmdb.org/t/p/original/cfhfcEt4bOXuVZkTC0nNBpqqiWb.jpg,7.9,6681.0
237,A Roda do Tempo,serie,-,"As vidas de cinco jovens camponeses mudam para sempre quando uma mulher estranha e poderosa chega dizendo que um deles é a criança de uma antiga profecia, com o poder de alterar o equilíbrio entre Luz e Trevas para sempre. Eles precisam decidir se confiam na desconhecida – e uns nos outros – para mudar o destino do mundo antes que o Tenebroso consiga se libertar de sua prisão.",2021-11-18,https://image.tmdb.org/t/p/original/5LKxmsgkBSbwGJkNOnYgD9gzS87.jpg,8.0,373.0
238,Maradona: Conquista de um Sonho,serie,-,"30 de outubro de 1960, em Lanús - Argentina, nasce uma das maiores lendas do futebol mundial: Diego Armando Maradona. Acompanhe a trajetória do ex-jogador argentino em diferentes momentos, da juventude à vida adulta.",2021-10-29,https://image.tmdb.org/t/p/original/yRPignkKlzde0SDRkXwbPn80nFa.jpg,7.6,396.0
239,Diários de um Vampiro,serie,-,"Elena tenta sobreviver entre os seres sobrenaturais que vivem em segredo. Ela se apaixona pelo misterioso Stefan, mas o retorno do seu irmão, Damon, ameaça essa paixão.",2009-09-10,https://image.tmdb.org/t/p/original/pjXEIzJdXskyHdgih4YrpsWl4A.jpg,8.3,6734.0
240,Jujutsu Kaisen,serie,-,"Jujutsu Kaisen Yuji é um gênio do atletismo, mas não tem interesse algum em ficar correndo em círculos. Ele é feliz como membro no Clube de Estudo de Fenômenos Psíquicos. Apesar de estar no clube apenas por diversão, tudo fica sério quando um espírito de verdade aparece na escola! A vida está prestes a se tornar muito interessante na Escola Sugisawa…",2020-10-03,https://image.tmdb.org/t/p/original/eGYaVtwWInTzAT6HOGyAj1BTqnB.jpg,8.5,1715.0
241,मीत,serie,-,,2021-08-23,https://image.tmdb.org/t/p/original/9X7FovF5n8NQUHUPJYYfxRlF3yp.jpg,2.6,4.0
242,El cartel de los sapos: El origen,serie,-,"Em Cali nas décadas de 1970 e 1980, dois irmãos tentam se dividir entre a família, os romances e uma grande ambição: dominar a indústria das drogas na Colômbia.",2021-07-28,https://image.tmdb.org/t/p/original/A17Rt6BLHno0puR1QXbsSKhBfA4.jpg,7.9,203.0
243,अनुपमा,serie,-,"Anupama teve que se sacrificar muito para se tornar uma esposa, nora e mãe ideal. Depois de uma compreensão amarga, ela decide viver em seus próprios termos.",2020-07-13,https://image.tmdb.org/t/p/original/9R4Qtm01pNh0CzdoIyvHKefe5RL.jpg,4.7,21.0
244,Invasão,serie,-,"Uma visita extraterrestre ameaça a existência humana. Os impactos a dessa chegada são acompanhados em tempo real por cinco pessoas comuns. Em cantos diferentes do planeta, elas tentam encontrar sentido em meio ao caos.",2021-10-21,https://image.tmdb.org/t/p/original/2faxNZj5iHQOiDdPzCHCDvjTEnW.jpg,7.5,331.0
245,Let's Make a Deal,serie,-,,2009-10-05,https://image.tmdb.org/t/p/original/442auOYe7ovoMWk3fbKG5tFJuml.jpg,1.0,1.0
246,Sem Seios Há Paraíso,serie,-,Uma jovem nascida em uma cidade controlada pela máfia busca vingança contra aqueles que injustamente prejudicaram e prenderam sua família.,2016-07-19,https://image.tmdb.org/t/p/original/7lBJ6lOS0uQqsH13U9iMTikawQS.jpg,7.5,2381.0
247,Gavião Arqueiro,serie,-,"O ex-vingador Clint Barton tem uma missão aparentemente simples: voltar para sua família no Natal. Será possível? Talvez com a ajuda de Kate Bishop, uma arqueira de 22 anos que sonha em se tornar uma super-heroína. Os dois são forçados a trabalhar juntos quando uma presença do passado de Barton ameaça descarrilar muito mais do que o espírito festivo.",2021-11-24,https://image.tmdb.org/t/p/original/62qfVDg4VK3kqZFxrRztPqSbal4.jpg,8.7,492.0
248,My Name,serie,-,"Em busca de respostas sobre a morte do pai, Jiwoo se infiltra em um cartel de drogas e vira informante da polícia. Enquanto executa sua vingança, ela descobre duras verdades.",2021-10-15,https://image.tmdb.org/t/p/original/ncAKKmr1sfFhQvn6LeGTY2QBge.jpg,8.4,279.0
249,La Casa de Papel,serie,-,"Um homem misterioso que atende pelo nome de El Profesor, está planejando o maior assalto do século. A fim de realizar o ambicioso plano ele recruta uma gangue de oito pessoas com certas habilidades que não tem nada a perder. O objetivo é infiltrar na Casa da Moeda, de modo que eles possam imprimir 2,4 bilhões de euros. Para fazer isso eles precisam de onze dias de reclusão, durante o qual eles vão ter que lidar com sessenta e sete reféns e as forças da Polícia de Elite, com cenas de muita ação e planos brilhantes de El Profesor.",2017-05-02,https://image.tmdb.org/t/p/original/yVUAfbrP5HDJugXraB7KQS0yz6Z.jpg,8.3,15024.0
250,Um Lugar ao Sol,serie,-,"Separados desde pequenos, os gêmeos Christian e Renato crescem em realidades opostas. Quando finalmente se encontram, uma reviravolta muda a vida de Christian e de todos ao seu redor.",2021-11-08,https://image.tmdb.org/t/p/original/14vpsRup5OVxiPffluPql7awNhU.jpg,10.0,1.0
251,O Mentalista,serie,-,"Patrick Jane é famoso por sua habilidade de alta percepção de tudo que está ao seu redor. Ele já quase foi uma celebridade, alegando ser médium vidente, mas agora admite que fingia ter poderes paranormais. Com sua grande habilidade de observação, Patrick trabalha como consultor independente para as autoridades da Califórnia, resolvendo um número considerável de crimes complicados.",2008-09-23,https://image.tmdb.org/t/p/original/d1ZcT5tHzUeQ7zgYecOVoWxH9FL.jpg,8.4,2475.0
252,People Puzzler,serie,-,,2021-01-18,https://image.tmdb.org/t/p/original/gELQSCY5KKIGQAmOHbcgcRGNlp5.jpg,6.0,3.0
253,Bluey,serie,-,As aventuras na vida de um filhote de cachorro Boiadeiro-australiano azul enquanto ele se diverte com sua família e amigos em situações cotidianas.,2018-10-01,https://image.tmdb.org/t/p/original/9p4pNoGcuyCfHcGWKNrTopqMWtq.jpg,8.3,12.0
254,Noovo Le Fil Québec,serie,-,,2021-03-29,https://image.tmdb.org/t/p/original/kdpM5Iz37EWi6hRMWZvrQRxTpEF.jpg,10.0,1.0
255,Suits: Homens de Terno,serie,-,"Mesmo sem se formar e sem licença para advogar, um jovem brilhante impressiona um importante advogado e consegue uma cobiçada posição em sua firma.",2011-06-23,https://image.tmdb.org/t/p/original/ubEYUaE1EOBnSgb1OteAeGJP1E5.jpg,8.1,2753.0
256,Miraculous: As Aventuras de LadyBug,serie,-,"Ladybug é uma heroína que tem a missão de defender Paris de um vilão misterioso. Junto com o parceiro Cat Noir, eles devem conciliar o dia a dia com a vida de super-heróis.",2015-10-19,https://image.tmdb.org/t/p/original/jROnM4gMSJlsfZpMighHuWeZt42.jpg,8.0,3295.0
257,The Flash,serie,-,Um perito forense desperta de um coma com poderes especiais que serão postos à prova na luta contra forças que ameaçam a cidade.,2014-10-07,https://image.tmdb.org/t/p/original/lJA2RCMfsWoskqlQhXPSLFQGXEJ.jpg,7.8,8850.0
258,La Brea,serie,-,"Quando um enorme poço se abre misteriosamente em Los Angeles, ele divide uma família ao meio, separando mãe e filho de pai e filha. Quando parte da família se encontra em um inexplicável mundo primitivo, ao lado de um grupo distinto de estranhos, eles devem trabalhar para sobreviver e descobrir o mistério de onde estão e se há um caminho de volta para casa.",2021-09-28,https://image.tmdb.org/t/p/original/nsoRsiUEakEO7VMIoa6Jkw4cPHs.jpg,7.4,164.0
259,Fear the Walking Dead,serie,-,"Ambientada em Los Angeles, a série mostra o começo do apocalipse zumbi e a temível desintegração da sociedade pelos olhos de uma família disfuncional, que precisa se unir para tentar sobreviver ao caos do fim dos tempos.",2015-08-23,https://image.tmdb.org/t/p/original/vUxU39JvOHCsMhPlQTZfPWiw6sE.jpg,7.7,3900.0
260,Pablo Escobar: O Senhor do Tráfico,serie,-,"Acompanhe a vida do famoso Pablo Escobar, que ascendeu de ladrão a chefe de um grande império do tráfico, nesta série eletrizante.",2012-05-28,https://image.tmdb.org/t/p/original/jZqm7HFuxfH9P0LFjQZ8nzrCUHP.jpg,7.6,2691.0
261,Dexter: New Blood,serie,-,"Longe de sua vida antiga, Dexter se refugiou em uma pequena cidade e adotou uma identidade falsa. Ele leva uma vida tranquila até que um serial killer aparece no local, forçando-o a reviver seu antigo eu.",2021-11-07,https://image.tmdb.org/t/p/original/9EBKgrFIsCFSV1RZKWhYUdbtGiv.jpg,8.6,247.0
262,घुम है किसिकी प्यार में,serie,-,,2020-10-05,https://image.tmdb.org/t/p/original/uNjnoT3RChs2r7O9pDyx7TNBvIj.jpg,6.0,6.0
263,Chucky,serie,-,"Depois que um boneco Chucky ""vintage"" aparece em uma venda de quintal, uma pequena e pacata cidade do interior norte americano é lançada no caos enquanto uma série de assassinatos horríveis começa a expor os segredos da localidade.",2021-10-12,https://image.tmdb.org/t/p/original/iF8ai2QLNiHV4anwY1TuSGZXqfN.jpg,8.0,2472.0
264,Day of the Dead,serie,-,Um grupo de seis estranhos vai-se unir para tentar sobreviver às primeiras 24 horas desta invasão assustadora de zombies,2021-10-15,https://image.tmdb.org/t/p/original/iBeWa2Ds2uCjTOlMikiBqETsS2X.jpg,7.0,58.0
265,Você,serie,-,"Obcecado por uma aspirante a escritora, um charmoso gerente de livraria lança mão de medidas extremas para entrar na vida dela.",2018-09-09,https://image.tmdb.org/t/p/original/jv1dRCYqJahexIMkR1iaVG5JAqW.jpg,8.2,1740.0
266,A Rainha do Fluxo,serie,-,"Dezessete anos após ser presa injustamente, uma compositora talentosa busca justiça contra os homens que causaram sua queda e mataram sua família.",2018-06-12,https://image.tmdb.org/t/p/original/fuVuDYrs8sxvEolnYr0wCSvtyTi.jpg,8.0,1170.0
267,Days of Our Lives,serie,-,,1965-11-08,https://image.tmdb.org/t/p/original/7Zm7epVFEovMEVLpM6FvrjhaNXn.jpg,6.4,87.0
268,Yellowstone,serie,-,"John Dutton tenta proteger seu rancho, o maior dos Estados Unidos, de um mundo corrupto.",2018-06-20,https://image.tmdb.org/t/p/original/43nVQqVsrshaOx9GfJq6JstsfCX.jpg,8.0,694.0
269,Cobra Kai,serie,-,"Esta sequência de Karate Kid pega 30 anos depois dos eventos do All Valley Karate Tournament de 1984 e encontra Johnny Lawrence em busca de redenção reabrindo o infame dojo de karate Cobra Kai . Isso reacende sua antiga rivalidade com o bem-sucedido Daniel LaRusso, que vem trabalhado para manter o equilíbrio em sua vida sem o seu mentor Miyagi.",2018-05-02,https://image.tmdb.org/t/p/original/5qMupAz4A9EN5Rutrkmov45mNXZ.jpg,8.1,3566.0
270,Breaking Bad: A Química do Mal,serie,-,"Ao saber que tem câncer, um professor passa a fabricar metanfetamina pelo futuro da família, mudando o destino de todos.",2008-01-20,https://image.tmdb.org/t/p/original/30erzlzIOtOK3k3T3BAl1GiVMP1.jpg,8.7,7945.0
271,Un souper presque parfait,serie,-,,2010-08-30,https://image.tmdb.org/t/p/original/yQQZftlDy11RD0i1whR6Lvn8f66.jpg,4.8,2.0
272,Game of Thrones,serie,-,"Em uma terra onde os verões podem durar vários anos e o inverno toda uma vida, sete nobres famílias lutam pelo controle da mítica terra de Westeros, dividida depois de uma guerra. Num cenário que lembra a Europa medieval, reis, rainhas, cavaleiros e renegados usam todos os meios possíveis em um jogo político pela disputa do Trono de Ferro, o símbolo do poder absoluto.",2011-04-17,https://image.tmdb.org/t/p/original/3pLLMbM33SBGrade4TuahCP1sdJ.jpg,8.4,16504.0
273,Bones: Sempre em Medicina,serie,-,"A série ""Bones"" gira em torno da Dra. Temperance Brennan, uma exímia antropóloga forense que trabalha no Instituto Jeffersonian e cujo passatempo é escrever romances policiais. Ela é chamada para ajudar nas investigações policiais de assassinato sempre que não é possível identificar a vítima pelos métodos tradicionais, seja porque o corpo está decomposto, foi carbonizado ou está totalmente desfigurado. O talento e a experiência de Brennan recaem em sua grande habilidade de desvendar as pistas ocultas que se escondem por trás do cadáver e/ou ossada das vitimas. Nesta terceira temporada, a dupla Booth/Brennan está atrás de um serial killer que assusta a cidade e toda a equipe de peritos se envolve numa investigação que promete ser uma das melhores “caçadas” da televisão.",2005-09-13,https://image.tmdb.org/t/p/original/rElaRnNez2dXBCMv1THHdVcroFY.jpg,8.3,2240.0
274,The Walking Dead,serie,-,"Nos Estados Unidos pós-apocalíptico, um pequeno grupo de sobreviventes segue viajando à procura de uma nova casa longe dos mortos-vivos. O desespero por segurança e suprimentos os coloca constantemente à beira da sanidade.",2010-10-31,https://image.tmdb.org/t/p/original/rqeYMLryjcawh2JeRpCVUDXYM5b.jpg,8.1,12100.0
275,Dr. House,serie,-,"Um médico dissidente e anti-social, que se especializou em medicina de diagnóstico. Faz o que for preciso para resolver casos intrigantes que estão no seu caminho, usando a sua equipe de médicos e sua inteligência.",2004-11-16,https://image.tmdb.org/t/p/original/lW7MvZ4m49IUj2UrUu4z0xVVl81.jpg,8.6,4194.0
276,Maury,serie,-,,1991-09-09,https://image.tmdb.org/t/p/original/6snpIOldoSfBMz9HcnfDfjhkwOt.jpg,6.2,28.0
277,A Anatomia de Grey,serie,-,"Os médicos do Grey Sloan Memorial Hospital lidam diariamente com casos e consequências de vida ou morte. É um no outro que eles encontram apoio, conforto, amizade e, às vezes, até mais que amizade... Juntos, eles descobrem o quanto a vida profissional e a pessoal podem ser complicadas e se misturarem no meio do caminho.",2005-03-27,https://image.tmdb.org/t/p/original/66dvDF9Ja8whQEHp3doyUGv35w2.jpg,8.2,7026.0
278,Arcane,serie,-,"Em meio ao conflito entre as cidades-gêmeas de Piltover e Zaun, duas irmãs lutam em lados opostos de uma guerra entre tecnologias mágicas e convicções incompatíveis.",2021-11-06,https://image.tmdb.org/t/p/original/fqldf2t8ztc9aiwn3k6mlX3tvRT.jpg,9.2,981.0
279,斛珠夫人,serie,-,,2021-11-10,https://image.tmdb.org/t/p/original/qS7YsiOLTYmq9aeFISnO0bPfwdc.jpg,6.3,6.0
280,कौन बनेगा करोड़पति,serie,-,,2000-07-03,https://image.tmdb.org/t/p/original/8srHjzgZq9V9sgsTkIwGARDyADj.jpg,7.3,20.0
281,Senhor dos Céus,serie,-,"Siga os passos de Aurélio Casillas na sua odisseia para transformar-se no maior narcotraficante do México nos anos 90, o único capaz de ocupar o lugar de Pablo Escobar.",2013-04-15,https://image.tmdb.org/t/p/original/Ag7VUdnrRz5Qpq3Yn3E5OCvFnu0.jpg,7.8,1548.0
282,Riverdale,serie,-,"Enquanto tentam lidar com problemas típicos da adolescência como amor, sexo, escola e família, Archie e sua turma se envolvem em um grande mistério.",2017-01-26,https://image.tmdb.org/t/p/original/6zBWSuYW3Ps1nTfeMS8siS4KUaA.jpg,8.6,12192.0
283,Rachael Ray,serie,-,,2006-09-18,https://image.tmdb.org/t/p/original/dsAJhCLYX1fiNRoiiJqR6Up4aJ.jpg,5.2,40.0
284,Os Simpsons,serie,-,"A família Simpsons mora na cidade de  Springfield, uma cidade americana como qualquer outra. Homer trabalha como inspetor de segurança numa usina de  energia nuclear. Marge tenta manter a paz em sua família. Bart é um  travesso garoto de 10 anos. Lisa, 8, é a inteligente da família, que  adora tocar saxofone e é vegetariana. E a pequena Maggie conquista todos  enquanto não larga sua chupeta. E a série tem um rico, e muitas vezes  estranho, universo de personagens que também habitam Springfield. Com roteiros inteligentes, humor subversivo e divertidamente  genial, a série faz piadas de si mesma e de todo mundo que aparecer em  seu caminho.",1989-12-17,https://image.tmdb.org/t/p/original/ARIEA8fMTk8HLy8AyLbKyUjsqC.jpg,7.9,7342.0
285,Sex Education,serie,-,"O inseguro Otis manja tudo quando o negócio é aconselhamento sexual, graças à sua mãe sexóloga. E aí a rebelde Maeve propõe criar uma clínica de terapia sexual na escola.",2019-01-11,https://image.tmdb.org/t/p/original/cK6JhcZFpwVW9tldz3llodY2TeY.jpg,8.4,5144.0
286,9-1-1,serie,-,"9-1-1 mostra a pressão do trabalho da polícia, de paramédicos e de bombeiros que são incumbidos de resolver as situações mais assustadoras e chocantes para salvar vidas.",2018-01-03,https://image.tmdb.org/t/p/original/jvStfYRsDrcVymTEgRbyHqpBXwz.jpg,8.2,1586.0
287,Stardance XI ...kolem dokola,serie,-,,2021-10-17,https://image.tmdb.org/t/p/original/nho3v1Epw2OkxhOCJcAyv37wh8b.jpg,0.0,0.0
288,Mentes Criminosas,serie,-,"Um esquadrão de elite do FBI estuda as maiores mentes criminosas, antecipando seus próximos passos, antes que eles ataquem novamente. A fim de identificar as motivações dos criminosos e detê-los, cada membro da equipe usa a experiência que possui.",2005-09-22,https://image.tmdb.org/t/p/original/6YeRYN5ukiNeUSL0LHuoBByHcnC.jpg,8.3,2630.0
289,Le Tricheur,serie,-,,2012-01-08,https://image.tmdb.org/t/p/original/hRigur2ywhUuHzVDBgeG3WICdKJ.jpg,2.5,2.0
290,Wer weiß denn sowas?,serie,-,,2015-07-06,https://image.tmdb.org/t/p/original/abKjah96esLWObidBcWmvKJv61E.jpg,8.0,7.0
291,Chicago P.D.: Distrito 21,serie,-,"O Distrito 21 do Departamento de Polícia de Chicado é composto pelos policiais uniformizados que lidam com o crime nas ruas e pela Unidade de Inteligência, que lida com crimes maiores como tráfico de drogas e assassinatos.",2014-01-08,https://image.tmdb.org/t/p/original/3k9YHHlENlcIT8g2BqeXsaDI2Hh.jpg,8.4,1687.0
292,Loki,serie,-,"Começando imediatamente depois que Loki rouba o Tesseract (de novo), ele se encontra diante da Autoridade de Variação Temporal, uma organização burocrática que existe fora do tempo e espaço. Forçado a responder por seus crimes contra a linha do tempo, ele recebe uma escolha: Ser deletado da realidade ou ajudar a capturar uma ameaça ainda maior.",2021-06-09,https://image.tmdb.org/t/p/original/ukR0MkCQE6IylzBPd61txJi1L3E.jpg,8.2,8156.0
293,Emmerdale,serie,-,,1972-10-16,https://image.tmdb.org/t/p/original/ualtuRRNYa9Fj61wSuBVcuvaVDP.jpg,3.9,62.0
294,Komi Can't Communicate,serie,-,"Komi é linda, mas é tímida e antissocial. Na escola, ela conta com a ajuda de Tadano para resolver esse problema e estabelece uma meta ambiciosa: fazer 100 amigos.",2021-10-07,https://image.tmdb.org/t/p/original/vPsuWdxGrDSIlXOiczcjX0wWWa8.jpg,7.8,13.0
295,Chicago Fire: Heróis Contra o Fogo,serie,-,"Acompanhe o dia-a-dia intenso e os dramas dos oficiais do Departamento de Bombeiros de Chicago e paramédicos do Quartel 51. A equipe composta por bombeiros, equipe de resgate e paramédicos, irá passar por situações tensas e delicadas, arriscando suas próprias vidas para salvar pessoas em perigo, além de ter que lidar com os conflitos pessoais e os desafios que surgem por conta das diferenças entre os companheiros de equipe.",2012-10-10,https://image.tmdb.org/t/p/original/iD8lx0VgmpCZMhycI0Xw72wCuRS.jpg,8.4,1544.0
296,Ricardo,serie,-,,2002-09-09,https://image.tmdb.org/t/p/original/my510tqdGLiBhtKzS1LMgXT5mXl.jpg,2.2,3.0
297,The Bold and the Beautiful,serie,-,,1987-03-23,https://image.tmdb.org/t/p/original/kQNQwXLCvNcMwwY8ty1PEqcSCKQ.jpg,5.5,83.0
298,Counter-Strike,jogo,Valve,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,2000-11-01,https://steamcdn-a.akamaihd.net/steam/apps/10/header.jpg?t=1528733245,9.738881546534452,127873.0
299,Team Fortress Classic,jogo,Valve,"One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes.",1999-04-01,https://steamcdn-a.akamaihd.net/steam/apps/20/header.jpg?t=1528732825,8.397873955960517,3951.0
300,Day of Defeat,jogo,Valve,"Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations.",2003-05-01,https://steamcdn-a.akamaihd.net/steam/apps/30/header.jpg?t=1512413490,8.956476140534871,3814.0
301,Deathmatch Classic,jogo,Valve,"Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valve's tribute to the work of id software, DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings.",2001-06-01,https://steamcdn-a.akamaihd.net/steam/apps/40/header.jpg?t=1528733362,8.266233766233766,1540.0
302,Half-Life: Opposing Force,jogo,Valve,"Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences.",1999-11-01,https://steamcdn-a.akamaihd.net/steam/apps/50/header.jpg?t=1542245736,9.479956663055257,5538.0
303,Ricochet,jogo,Valve,"A futuristic action game that challenges your agility as well as your aim, Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.",2000-11-01,https://steamcdn-a.akamaihd.net/steam/apps/60/header.jpg?t=1528733092,8.01278326554329,3442.0
304,Half-Life,jogo,Valve,"Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.",1998-11-08,https://steamcdn-a.akamaihd.net/steam/apps/70/header.jpg?t=1530045175,9.618783573037602,28855.0
305,Counter-Strike: Condition Zero,jogo,Valve,"With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.",2004-03-01,https://steamcdn-a.akamaihd.net/steam/apps/80/header.jpg?t=1512411962,8.938712294416993,13559.0
306,Half-Life: Blue Shift,jogo,Valve,"Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations.",2001-06-01,https://steamcdn-a.akamaihd.net/steam/apps/130/header.jpg?t=1542159361,9.009900990099007,4242.0
307,Half-Life 2,jogo,Valve,"1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling. Valve's debut title wins more than 50 game-of-the-year awards on its way to being named ""Best PC Game Ever"" by PC Gamer, and launches a franchise with more than eight million retail units sold worldwide.",2004-11-16,https://steamcdn-a.akamaihd.net/steam/apps/220/header.jpg?t=1541802014,9.656006029493325,70321.0
308,Counter-Strike: Source,jogo,Valve,"Just updated to include player stats, achievements, new scoreboards and more!",2004-11-01,https://steamcdn-a.akamaihd.net/steam/apps/240/header.jpg?t=1515613564,9.563622296816702,80137.0
309,Half-Life: Source,jogo,Valve,"Winner of over 50 Game of the Year awards, Half-Life set new standards for action games when it was released in 1998. Half-Life: Source is a digitally remastered version of the critically acclaimed and best selling PC game, enhanced via Source technology to include physics simulation, enhanced effects, and more.",2004-06-01,https://steamcdn-a.akamaihd.net/steam/apps/280/header.jpg?t=1530046549,7.8153526970954355,4820.0
310,Day of Defeat: Source,jogo,Valve,Valve's WWII Multiplayer Classic - Now available for Mac.,2010-07-12,https://steamcdn-a.akamaihd.net/steam/apps/300/header.jpg?t=1512413758,8.965723566116763,11699.0
311,Half-Life 2: Deathmatch,jogo,Valve,Fast multiplayer action set in the Half-Life 2 universe! HL2's physics adds a new dimension to deathmatch play. Play straight deathmatch or try Combine vs. Resistance teamplay. Toss a toilet at your friend today!,2004-11-01,https://steamcdn-a.akamaihd.net/steam/apps/320/header.jpg?t=1512752170,8.843837226384604,6807.0
312,Half-Life 2: Lost Coast,jogo,Valve,"Originally planned as a section of the Highway 17 chapter of Half-Life 2, Lost Coast is a playable technology showcase that introduces High Dynamic Range lighting to the Source engine.",2005-10-27,https://steamcdn-a.akamaihd.net/steam/apps/340/header.jpg?t=1530046348,8.500661472879612,6803.0
313,Half-Life Deathmatch: Source,jogo,Valve,"Half-Life Deathmatch: Source is a recreation of the first multiplayer game set in the Half-Life universe. Features all the classic weapons and most-played maps, now running on the Source engine.",2006-05-01,https://steamcdn-a.akamaihd.net/steam/apps/360/header.jpg?t=1530046445,7.422343324250681,1835.0
314,Half-Life 2: Episode One,jogo,Valve,"Half-Life 2 has sold over 4 million copies worldwide, and earned over 35 Game of the Year Awards. Episode One is the first in a series of games that reveal the aftermath of Half-Life 2 and launch a journey beyond City 17. Also features two multiplayer games. Half-Life 2 not required.",2006-06-01,https://steamcdn-a.akamaihd.net/steam/apps/380/header.jpg?t=1530046506,9.386350148367953,8425.0
315,Portal,jogo,Valve,"Portal&trade; is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.",2007-10-10,https://steamcdn-a.akamaihd.net/steam/apps/400/header.jpg?t=1512752294,9.7957678561298,52881.0
316,Half-Life 2: Episode Two,jogo,Valve,"Half-Life&reg; 2: Episode Two is the second in a trilogy of new games created by Valve that extends the award-winning and best-selling Half-Life&reg; adventure. As Dr. Gordon Freeman, you were last seen exiting City 17 with Alyx Vance as the Citadel erupted amidst a storm of unknown proportions.",2007-10-10,https://steamcdn-a.akamaihd.net/steam/apps/420/header.jpg?t=1530046627,9.523222359227292,14598.0
317,Team Fortress 2,jogo,Valve,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!",2007-10-10,https://steamcdn-a.akamaihd.net/steam/apps/440/header.jpg?t=1539304875,9.381067983233772,549915.0
318,Left 4 Dead,jogo,Valve,"From Valve (the creators of Counter-Strike, Half-Life and more) comes Left 4 Dead, a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters.",2008-11-17,https://steamcdn-a.akamaihd.net/steam/apps/500/header.jpg?t=1517005754,9.498386157997778,18899.0
319,Left 4 Dead 2,jogo,Valve,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.",2009-11-19,https://steamcdn-a.akamaihd.net/steam/apps/550/header.jpg?t=1540300687,9.676488334287702,260207.0
320,Dota 2,jogo,Valve,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.",2013-07-09,https://steamcdn-a.akamaihd.net/steam/apps/570/header.jpg?t=1554408611,8.587102445738108,1005586.0
321,Portal 2,jogo,Valve,The &quot;Perpetual Testing Initiative&quot; has been expanded to allow you to design co-op puzzles for you and your friends!,2011-04-18,https://steamcdn-a.akamaihd.net/steam/apps/620/header.jpg?t=1512411524,9.865035578933846,140111.0
